business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,data_quality
1000,,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,"(37.755282, -122.420493)",,1000_20171002,10/02/2017 12:00:00 AM,74.0,Routine - Unscheduled,1000_20171002_103161,Low risk vermin infestation,Low Risk,low
1002,,3392 24th St,San Francisco,CA,94110,37.752158,-122.420362,"(37.752158, -122.420362)",,1002_20180509,05/09/2018 12:00:00 AM,90.0,Routine - Unscheduled,1002_20180509_103118,Employee eating or smoking,Moderate Risk,low
1003,,3364 26th St,San Francisco,CA,94110,37.749128,-122.417402,"(37.749128, -122.417402)",14155897712,1003_20160706,07/06/2016 12:00:00 AM,88.0,Routine - Unscheduled,1003_20160706_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk,low
10030,Marshall Elementary School,1575 15th St,San Francisco,CA,94103,37.766864,-122.419014,"(37.766864, -122.419014)",14155246280,10030_20170928,09/28/2017 12:00:00 AM,93.0,Routine - Unscheduled,10030_20170928_103103,High risk food holding temperature,High Risk,low
1005,,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,"(37.748855, -122.418134)",14155286927,1005_20160502,05/02/2016 12:00:00 AM,84.0,Routine - Unscheduled,1005_20160502_103131,Moderate risk vermin infestation,Moderate Risk,low
1008,,801 VALENCIA St,San Francisco,CA,94110,37.759944,-122.421356,"(37.759944, -122.421356)",14155641882,1008_20160121,01/21/2016 12:00:00 AM,98.0,Non-inspection site visit,1008_20151202_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,low
10083,Morning Brew Cafe,401 Sansome St,San Francisco,CA,94111,37.794024,-122.401299,"(37.794024, -122.401299)",,10083_20160608,06/08/2016 12:00:00 AM,88.0,Reinspection/Followup,10083_20160315_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,medium
10127,AMICI'S EAST COAST PIZZERIA,216 KING STREET,San Francisco,CA,94107,37.777803,-122.392489,"(37.777803, -122.392489)",,10127_20160802,08/02/2016 12:00:00 AM,93.0,Routine - Unscheduled,10127_20160802_103109,Unclean or unsanitary food contact surfaces,High Risk,medium
10131,Cybelle's Front Room,1385 09th Ave,San Francisco,CA,94122,37.758941,-122.48591,"(37.758941, -122.48591)",,10131_20160801,08/01/2016 12:00:00 AM,87.0,Routine - Unscheduled,10131_20160801_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,medium
10170,Piaza Pellegrini,659 Columbus Ave,San Francisco,CA,94133,37.800851,-122.411062,"(37.800851, -122.411062)",,10170_20160909,09/09/2016 12:00:00 AM,82.0,Routine - Unscheduled,10170_20160909_103114,High risk vermin infestation,High Risk,medium
1018,,2399 MISSION St,San Francisco,CA,94110,37.758684,-122.418975,"(37.758684, -122.418975)",14155821009,1018_20180226,02/26/2018 12:00:00 AM,96.0,Reinspection/Followup,1018_20170718_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,low
1021,,2815 MISSION St,San Francisco,CA,94110,37.751885,-122.418406,"(37.751885, -122.418406)",14155282131,1021_20160819,08/19/2016 12:00:00 AM,91.0,Routine - Unscheduled,1021_20160819_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,low
10227,The Napper Tandy,3200 24th St,San Francisco,CA,,37.752581,-122.416482,"(37.752581, -122.416482)",,10227_20160510,05/10/2016 12:00:00 AM,83.0,Complaint,10227_20180307_103144,Unapproved or unmaintained equipment or utensils,Low Risk,medium
10235,Nijiya Market,1737 Post St 333,San Francisco,CA,94115,37.785457,-122.430317,"(37.785457, -122.430317)",,10235_20180417,04/17/2018 12:00:00 AM,89.0,Routine - Unscheduled,10235_20180417_103162,Other low risk violation,Low Risk,medium
10238,King of Thai Noodle House,184 O'Farrell St,San Francisco,CA,94102,37.786498,-122.407764,"(37.786498, -122.407764)",+1732317600025602,10238_20180510,05/10/2018 12:00:00 AM,76.0,Reinspection/Followup,10238_20180508_103154,Unclean or degraded floors walls or ceilings,Low Risk,high
1026,,248 DIVISADERO St,San Francisco,CA,94117,37.771117,-122.436976,"(37.771117, -122.436976)",14155979594,1026_20160726,07/26/2016 12:00:00 AM,87.0,Routine - Unscheduled,1026_20160726_103142,Unclean nonfood contact surfaces,Low Risk,low
10280,TENDERLOIN ELEMENTARY SCHOOL,627 TURK ST,San Francisco,CA,94102,37.782034,-122.419777,"(37.782034, -122.419777)",,10280_20180405,04/05/2018 12:00:00 AM,88.0,Routine - Unscheduled,10280_20180405_103131,Moderate risk vermin infestation,Moderate Risk,medium
10282,Jewish Community Center,3200 California,San Francisco,CA,94118,37.787311,-122.446839,"(37.787311, -122.446839)",,10282_20160907,09/07/2016 12:00:00 AM,86.0,Routine - Unscheduled,10282_20160907_103108,Contaminated or adulterated food,High Risk,low
1031,,500 FELL St,San Francisco,CA,94102,37.775538,-122.426264,"(37.775538, -122.426264)",+8862296034564141,1031_20160922,09/22/2016 12:00:00 AM,80.0,Reinspection/Followup,1031_20160915_103138,Improper storage use or identification of toxic substances,Low Risk,low
10332,Harvest Urban Market,191 08th St,San Francisco,CA,94103,37.776384,-122.411684,"(37.776384, -122.411684)",14155620805,10332_20160325,03/25/2016 12:00:00 AM,79.0,Reinspection/Followup,10332_20171002_103133,Foods not protected from contamination,Moderate Risk,high
1036,,803 FILLMORE St,San Francisco,CA,94117,37.776944,-122.431444,"(37.776944, -122.431444)",,1036_20180515,05/15/2018 12:00:00 AM,85.0,Routine - Unscheduled,1036_20180515_103150,Improper or defective plumbing,Low Risk,low
10372,BERNAL HEIGHTS NEIGBORHOOD CENTER,515 CORTLAND AVE,San Francisco,CA,,37.73911,-122.416404,"(37.73911, -122.416404)",14155202142,10372_20180226,02/26/2018 12:00:00 AM,100.0,Routine - Unscheduled,,,,medium
